,Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
964,2015,08/27/2015,EQUINE DEATH,Saratoga Racecourse (NYRA),Last Jump-1/8 pole,Racing,Thoroughbred, ,Divine Fortune,JONATHAN E. SHEPPARD,DARREN P. NAGLE,Divine Fortune-Tr. Jonathan Sheppard-fell over last jump-ambulanced off-fx L humerus-euthanized,Equine Death
965,2015,08/26/2015,ACCIDENT - ON TRACK,Batavia Downs,just past the finish.,Racing,Harness,cloudy and 69 degrees.,Schooner Or Later,RUSSELL J. BRATT,ANDREW C. MONTI,Schooner Or Later-Tr. R. Bratt-sharp turn into path of Flashy Trick causing  collision-Driver Drew Monti thrown and struck by Carson City Road-no injuries to horses or other drivers-Monti ambulanced to hospital-released next day-cleared to race,Accident
966,2015,08/26/2015,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,after 1st turn,Racing,Harness,Clear-cooler,Drimmela,DOUGLAS A. GOSNEY,PATRICK BEELER,Drimmela-Tr. Douglas Gosney-choked and fell in qualifying race unseating Driver Pat Beeler-no injuries to horse or driver-no damage to sulky-must requalify,Steward's List
967,2015,08/26/2015,ACCIDENT - ON TRACK,Batavia Downs,just past the finish.,Racing,Harness,cloudy and 69 degrees.,Flashy Trick,DAVID P. MCNEIGHT III,DAVID P. MCNEIGHT III,Schooner Or Later-Tr. R. Bratt-sharp turn into path of Flashy Trick causing  collision-Driver Drew Monti thrown and struck by Carson City Road-no injuries to horses or other drivers-Monti ambulanced to hospital-released next day-cleared to race,Accident
968,2015,08/26/2015,ACCIDENT - ON TRACK,Batavia Downs,just past the finish.,Racing,Harness,cloudy and 69 degrees.,Carson City Road,ALEXANDER E. GIULIANI,JAMES P. MCNEIGHT,Schooner Or Later-Tr. R. Bratt-sharp turn into path of Flashy Trick causing  collision-Driver Drew Monti thrown and struck by Carson City Road-no injuries to horses or other drivers-Monti ambulanced to hospital-released next day-cleared to race,Accident
969,2015,08/25/2015,RACING INJURY,Monticello Raceway & Mighty M Gaming,entering stretch,Racing,Harness,clear/hot/humid,Income DeVie,KEITH N. HAASE,FRANK CALCAGNI,Income DeVie-Tr. Keith Haase-broke-pulled up-DNF-fx ankle-no longer racing-sold as brood mare,Injury
970,2015,08/25/2015,RACING INJURY,Monticello Raceway & Mighty M Gaming,entering stretch,Racing,Harness,clear/hot/humid,Income DeVie, ,FRANK CALCAGNI,Income DeVie-Tr. Keith Haase-broke-pulled up-DNF-fx ankle-no longer racing-sold as brood mare,Injury
971,2015,08/25/2015,EQUINE DEATH,Saratoga Racecourse (NYRA),Barn 36,Non-Racing,Thoroughbred, ,DARLING BRIDEZILLA,ROBERT N. FALCONE JR, ,Darling Bridezilla-Tr. Robert Falcone  Jr.-adverse drug reaction-sudden death due to cardiac incident,Equine Death
972,2015,08/24/2015,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),After Finish,Racing,Thoroughbred,80* Partly Cloudy,All Rise,WILLIAM I. MOTT,JOSE LEZCANO,All Rise-Tr. Bill Mott-off in LF-ambulanced off as precaution-no injury found on examination-horse turned out-duration undetermined at this time, 
973,2015,08/21/2015,EQUINE DEATH,Tioga Downs,Tioga Downs,Racing,Harness, ,Warranee Prince,MARC MAJOR,MARC MAJOR,Warranee Prince-Tr. Marc Major-fx LF Leg during qualifier euthanized on track,Euthanasia
974,2015,08/20/2015,EQUINE DEATH,Finger Lakes Gaming & Racetrack,vicinity of 1/4 pole,Racing,Thoroughbred,Cloudy 80's,Mondor,RAFAEL A. RAMOS,OSCAR D. GOMEZ,Mondor-Tr. Rafael Ramos-fell unseating Jockey  Oscar Gomez-horse fx LF leg-euthanized on track-jockey trasported to hospital,Equine Death
