,Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
0,2019,01/13/2019,RACING INCIDENT,Aqueduct Racetrack (NYRA),Aqueduct Racetrack,Racing,Thoroughbred,Cold and clear,Shortlist,JEREMIAH C. ENGLEHART,REYLUIS A. GUTIERREZ,SHORTLIST  3rd Race 1/13/19  was observed bleeding from the mouth and nostril areas after finishing the race and was vanned off the racetrack., 
1,2019,01/12/2019,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8,Racing,Thoroughbred, ,Westerdale,THOMAS MORLEY,DYLAN DAVIS,WESTERDALE (Tr: T. Morley) suffered a fatal musculoskeletal injury in the vicinity of the 3/8 pole and was humanely euthanized on the racetrack.  Investigation to continue.,Euthanasia
2,2019,01/11/2019,FALL OF RIDER,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred,30* Clear,LIA SHIVANI,OSCAR S. BARRERA III,CHRISTINA BONILLA,Horse Lia Shivani/Tr-O. Barrera III bolts to outside at 5/8 pole unseating her rider, 
3,2019,01/08/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont-Ruffian,Non-Racing,Thoroughbred, ,Doyouknowsomething,MERTKAN KANTARMACI, ,Doyouknowsomething sustained left elbow injury in stall  ambulanced to Ruffian clininc  where radiographs revealed fracture necessitating euthanasia.,Euthanasia
4,2019,01/06/2019,RACING INJURY,Aqueduct Racetrack (NYRA),after being unsaddled,Racing,Thoroughbred, ,My Best Friend,HAROLD S. WYNER,REYLUIS A. GUTIERREZ,MY BEST FRIEND (Tr: H. Wyner; J: Reylu Gutierrez) was vanned off the track after returning to unsaddle after the race.  Investigation to continue., 
5,2019,01/06/2019,RACING INCIDENT,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Letzgometz,JEREMIAH C. ENGLEHART,DYLAN DAVIS,Letzgometz (Tr:  Jeremiah Englehart;  J:  Dylan Davis) was pulled up at the head of the lane  and was transported off the track via horse ambulance.  Investigation to continue., 
6,2019,01/04/2019,RACING INJURY,Aqueduct Racetrack (NYRA),Before wire,Racing,Thoroughbred, ,Fifty,DAVID A. CANNIZZO,JOSE LEZCANO,Fifty (T:  David Cannizzo J:  Jose Lezcano) was pulled before the wire  and returned to his barn via horse ambulance.  Investigation to continue., 
7,2019,01/02/2019,EQUINE DEATH,Monticello Raceway & Mighty M Gaming,Barn D-Monticello Raceway,Non-Racing,Harness,37/clear,Whata Hustler,WILLIAM R. MINTZ, ,Whata Hustler-Euthanasia by track vet / Suspected spider bite/Infected leg.,Euthanasia
8,2018,12/25/2018,EQUINE DEATH,Belmont Park (NYRA),Stall,Non-Racing,Thoroughbred, ,Three Eighty Eight,GARY P. GULLO, ,Horse Three Eighty Eight/Tr-G. Gullo was euthanized due to pneumonia of approximately two weeks duration.,Euthanasia
9,2018,12/23/2018,RACING INJURY,Aqueduct Racetrack (NYRA),After unsaddling,Racing,Thoroughbred, ,Confederation,JOHN T. TOSCANO JR,BENJAMIN HERNANDEZ SOTO,CONFEDERATION (T:  John Toscano; J:  Ben Hernandez) was vanned off after returning to be unsaddled after the race.   Investigation to continue.,Injury
10,2018,12/23/2018,EQUINE DEATH,Aqueduct Racetrack (NYRA),AQUEDUCT Racetrack,Racing,Thoroughbred,Clear  Cold,Big Mischief,BRAD H. COX,JOEL ROSARIO,BIG MISCHIEF / Tr. Brad Cox -  sustained injury on the track in 4th Race necessitating euthanized on track.,Euthanasia
11,2018,12/20/2018,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,3/4 pole,Racing,Harness,Rain/38 degrees,Sonny the Shark, ,AUSTIN T. SIEGELMAN,Sonny the Shark-DNF-driver pulled horse up- A-Fib, 
12,2018,12/20/2018,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,3/4 pole,Racing,Harness,Rain/38 degrees,Sonny the Shark,STEVEN P. BRABROOK,AUSTIN T. SIEGELMAN,Sonny the Shark-DNF-driver pulled horse up- A-Fib, 
13,2018,12/20/2018,EQUINE DEATH,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Consensus Thinking,RODOLFO (RUDY) RODRIGUEZ,JOSE LEZCANO,H-CONSENSUS THINKING (Tr. Rudy Rodriguez) sustained injury necessitating euthanasia on track.  Jockey Jose Lezcano unseated and injured. H-GNARLY (Tr. G. Capuano) then unseated jockey Weston Hamilton  no injuries. Inv. Continues.,Euthanasia
14,2018,12/15/2018,RACING INCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,ROCKFORD,BRUCE N. LEVINE,JUNIOR R. ALVARADO,Rockford/Trainer Bruce Levine.Eased in the stretch.Walked off of the track under his own power.Investigation to follow., 
15,2018,12/13/2018,RACING INCIDENT,Saratoga Gaming & Raceway,before the half,Racing,Harness,clear,Uncle Leo,GARY L. LEVINE,JAY L. RANDALL,Uncle Leo - Tr. Gary Levine - Dr. Jay Randall - Hose was pulled up early in the race  DNF., 
16,2018,12/09/2018,EQUINE DEATH,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Bluegrass Flash,BETH M. SAUL, ,H-Bluegrass Flash (Tr. Beth Miller-Saul) sustained injury 12/8/18  subsequently taken to Ruffian clinic and LFT sheath laceration confirmed. Owners opted for euthanasia(12/9/18) due to prognosis. Xref case 580.18,Euthanasia
17,2018,12/09/2018,RACING INJURY,Aqueduct Racetrack (NYRA),1/2 mile pole,Racing,Thoroughbred,38* Clear,Silver Token,LINDA L. RICE,JUNIOR R. ALVARADO,Horse Silver Token/Tr-L. Rice was pulled up at 1/2 mile pole and vanned off-Investigation to follow, 
18,2018,12/08/2018,RACING INJURY,Aqueduct Racetrack (NYRA),Paddock,Racing,Thoroughbred,32* Clear,Bluegrass Flash,BETH M. SAUL,HECTOR R. DIAZ JR,Horse Bluegrass Flash/Tr-B. Miller-Saul was taken off the track on the horse ambulance after being unsaddled in the paddock-investigation to follow Xref case 581.18, 
19,2018,12/07/2018,EQUINE DEATH,Batavia Downs,Batavia Downs,Racing,Harness,Cloudy 14 deg,Redwhiteandheaven,RICHARD R. MAYS,MICHAEL G. CAPRIO,H:FRANKIES ROCKNGIRL - T: James Mulcahy - Race#1 Batavia Downs - took bad step after half - sustained fracture L/ ForeP1 - Ambulanced off track and euthanised,Injury
20,2018,12/07/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont Backstrech,Non-Racing,Thoroughbred,Cold and Clear,Formal Event,JAMES T. RYERSON, , FORMAL EVENT   (Tr. James Ryerson) found deceased in stall. Horse was under treatment by Veterinarian for Gastrointestinal issues.,Equine Death
21,2018,12/07/2018,EQUINE DEATH,Batavia Downs,Batavia Downs,Racing,Harness,Cloudy 14 deg,Frankies Rockngirl,JAMES J. MULCAHY,KEVIN J. CUMMINGS,H:FRANKIES ROCKNGIRL - T: James Mulcahy - Race#1 Batavia Downs - took bad step after half - sustained fracture L/ ForeP1 - Ambulanced off track and euthanised,Euthanasia
22,2018,12/01/2018,FALL OF RIDER,Saratoga Racecourse (NYRA),Before Race,Racing,Thoroughbred,Cloudy,Just N Berlander,PHILLIP   'BO' A. SOWERS,ZACKARY R. GRAY,Just N Berlander - tr. Philip Bo Sowers - horse loose on track warming up - jogging driver fell hurting shoulder,Injury
23,2018,12/01/2018,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,before race,Racing,Harness,clear,Quintsential Terror,JIM J. NICKERSON,BILLY A. DOBSON,Quintsential Terror - Tr. Jimmy Nickerson - Dr. Billy Dobson - late scratch, 
24,2018,12/01/2018,EQUINE DEATH,Aqueduct Racetrack (NYRA),5/8 pole,Racing,Thoroughbred,48* Partly cloudy,Three Perfections,JAMES A. JERKENS,RAJIV C. MARAGH,Horse Three Perfections/Tr J. Jerkens suffered a fatal musculo-skeletal injury to his right front leg and was euthanized on the track-investigation to follow, 
25,2018,11/29/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont Park Training Track,Training,Thoroughbred, ,Malibu Strings,MERTKAN KANTARMACI, ,Malibu Strings (Tr: Martkan Kantarmaci) was injured breezing on the Belmont Training Track.  Sent to Ruffian center.  X-rayed  poor prognosis; euthanasia chosen.  Investigation to continue.,Equine Death
26,2018,11/28/2018,RACING INCIDENT,Finger Lakes Gaming & Racetrack,1/4 pole,Racing,Thoroughbred,Snow/30,Austin's Xchanger,HARRIS J. DUKES,RODOLFO IGNACIO,Austin's Xchanger - Tr. Harris J. Dukes - was pulled up at the 1/4 pole.  Walked off.  Investigation continues., 
27,2018,11/21/2018,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,1/2 Pole,Racing,Harness,Cloudy,Better to be Lucky,ASHLEY N. ELDRED,PHILLIP J. FLUET,Better to be Lucky - tr. Ashley Eldred - bled during race DNF,Injury
28,2018,11/18/2018,RACING INCIDENT,Saratoga Gaming & Raceway,During race,Racing,Harness,clear,Too Much Man, ,BRIAN M. CROSS,Too Much Man - Tr. Scott Mongeon - Dr. Brian Cross - DNF - Horse made a break  pulled up sore in right hind., 
29,2018,11/18/2018,RACING INCIDENT,Saratoga Gaming & Raceway,During race,Racing,Harness,clear,Too Much Man,SCOTT A. MONGEON,BRIAN M. CROSS,Too Much Man - Tr. Scott Mongeon - Dr. Brian Cross - DNF - Horse made a break  pulled up sore in right hind., 
30,2018,11/17/2018,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Cloudy,Dragon Laws,ROBYN E. MANGIARDI,CHRISTOPHER H. LONG,Dragon Laws - tr. Robyn Mangiardi - lame left front - scratched before race,Lameness
31,2018,11/17/2018,RACING INJURY,Saratoga Gaming & Raceway,3/4 Pole,Racing,Harness,clear,Still To Come,ERIC L. ADSIT,JAY L. RANDALL,Still To Come - Tr. Eric Adsit - Dr. Jay Randall - DNF - Injured right front fetlock.,Injury
32,2018,11/17/2018,RACING INJURY,Saratoga Gaming & Raceway,1/2 pole,Racing,Harness,Cloudy,Sand Benelli,BRUCE R. BENTLEY,JAMES J. DEVAUX,Sand Benelli - tr. Bruce Bentley - right front injury during race DNF,Injury
33,2018,11/15/2018,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLGR,Racing,Thoroughbred,30 / Cloudy,Last Chant,AMBER R. COBB,JAIME RODRIGUEZ,Last Chant  -  Tr. Amber Cobb  -   fx L.F. Lateral Condylar  -  Euthanized  -  Investigation Continues,Equine Death
34,2018,11/13/2018,EQUINE DEATH,Monticello Raceway & Mighty M Gaming,ship-in-barn,Non-Racing,Harness, ,R Caan,RICK A. DANE JR, ,R Caan-euthanized following injury during shipment,Euthanasia
35,2018,11/11/2018,EQUINE DEATH,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,48*Clear,Andesine,CHRISTOPHER J. ENGLEHART,MANUEL FRANCO,Horse Andesine/Tr- C. Englehart collapsed and died after walking down the track after being unsaddled. Investigation to follow, 
36,2018,11/09/2018,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Harness Track,Training,Harness,Rain/38 degrees,Rich Uncle,MELISSA A. BECKWITH,JAMES J. DEVAUX,Rich Uncle - Tr. Melissa Beckwith - Late Scratch (bad-gaited while warming up/lame upon examination), 
37,2018,11/08/2018,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Race track,Training,Thoroughbred,45 /  Cloudy,Tizz Hip,MICHAEL (ANTHONY) A. FERRARO, ,Tizz Hip  -  Tr.  Anthony M. Ferraro  -  fx LF Medial Sesamoid Bone while training  -  Euthanized,Equine Death
38,2018,11/08/2018,EQUINE DEATH,Aqueduct Racetrack (NYRA), ,Training,Thoroughbred, ,Smooth Move,LINDA L. RICE, ,H-Smooth Move (Tr. Linda Rice) unseated rider on track  ran loose and fell in barn area   sustained pelvic fracture subsequently necessitating euthanasia. Inv. Continues.,Euthanasia
39,2018,11/07/2018,RACING INJURY,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,50* Clear,Cuarenta,RODOLFO (RUDY) RODRIGUEZ,IRAD ORTIZ JR,Horse Cuarenta/Tr-R. Rodriguez was pulled up after the finish and vanned off. Retired to New Vocations, 
40,2018,11/05/2018,EQUINE DEATH,Belmont Park (NYRA),7/8 pole,Training,Thoroughbred, ,Buddy's Tiz,BRUCE N. LEVINE, ,Buddy's Tiz (Tr: Bruce Levine  O: Kingfield Stable) collapsed and died around the 7/8 pole after breezing on the training track at Belmont.,Equine Death
41,2018,11/04/2018,EQUINE DEATH,Aqueduct Racetrack (NYRA),Main track,Training,Thoroughbred, ,Gotcha Gabin,BOB G. DUNHAM, ,H-Gotcha Gabin (Tr. Bob Dunham) sustained sesamoid injury while breezing  subsequently euthanized on track. Inv. Continues.,Euthanasia
42,2018,10/28/2018,EQUINE DEATH,Belmont Park (NYRA), ,Non-Racing,Thoroughbred, ,A True Giant,RODOLFO (RUDY) RODRIGUEZ, ,H-A True Giant (Tr. Rudy Rodriguez) developed severe laminitis subsequent to injury sustained three weeks prior  euthanized in stall. Inv. Continues.,Euthanasia
43,2018,10/27/2018,RACING INCIDENT,Finger Lakes Gaming & Racetrack,1/2 mile,Racing,Thoroughbred,Rain - 37 - Muddy,Givonna's Magic,MICHELLE C. NEVIN,JAIME RODRIGUEZ,Givonna's Magic  -  Tr.:  Michelle Nevin  -  Pulled up at the 1/2  -   DNF -, 
44,2018,10/27/2018,EQUINE DEATH,Monticello Raceway & Mighty M Gaming, ,Non-Racing,Harness, ,KJ Henry Michael,GARY L. MESSENGER, ,KJ Henry Michael (Tr. Gary Messenger)  unraced 2 yr old gelding  found deceased in stall early morning ,Equine Death
45,2018,10/26/2018,EQUINE DEATH,Belmont Park (NYRA),Finish line,Training,Thoroughbred,45* Cloudy,Rahy's Bandit,SUSAN F. OUELLETTE, ,Horse Rahy's Bandit/Tr-S. Ouellette suffered a fracture to her right front leg while breezing and was euthanized on the track. investigation to follow, 
46,2018,10/26/2018,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Harness Track,Racing,Harness,Clear - 36 degrees,Sensationalgabby A,DOLORES D. BASILONE,DANIEL J. CAPPELLO JR,Sensationalgabby A - Tr. Dolores Basilone - Horse finished distant last/lame upon examination, 
47,2018,10/25/2018,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLGR,Non-Racing,Thoroughbred,43  /   Clouds,Love Poochie Loo,ESKEI E. BEECH, ,Love Poochie Loo  -  Tr.  Eskei Beach  -  Colic without resolution  -  Non Racing  -  Euthanized,Equine Death
48,2018,10/21/2018,FALL OF HORSE,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Cloudy,Ladyyouaregorgeous,JESSICA L. OKUSKO,FRANK J. COPPOLA JR,Ladyyouaregorgeous - Tr. Jessica Okusko - stumbled and fell during warm-up - abrasion rt front knee and left shoulder laceration.,Injury
49,2018,10/20/2018,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Clear,Martial Bliss,DOLORES D. BASILONE,PHILLIP J. FLUET,Martial Bliss - Tr. Delores Basilone - lame during warm-up - scratched from race,Lameness
50,2018,10/19/2018,RACING INJURY,Belmont Park (NYRA),After finish,Racing,Thoroughbred,48* Partly Cloudy,Encryption Code,CHARLTON A. BAKER,DYLAN DAVIS,Encryption Key-Trainer C. Baker was pulled up after the finish and taken off in the horse ambulance. Investigation to follow.,Lameness
51,2018,10/19/2018,RACING INCIDENT,Belmont Park (NYRA),5/8 pole,Racing,Thoroughbred,48* Clear,Miss Juno,ARTHUR B. MAGNUSON,MICHAEL J. LUZZI,Miss Juno-Tr-A. Magnuson-pulled up right after the start of race-walked off the track under own power-no injury reported-retired,Steward's List
52,2018,10/18/2018,FALL OF RIDER,Belmont Park (NYRA), ,Unknown,Thoroughbred, ,Mo Flash,EDWARD R. BARKER,JOEY R. MARTINEZ,Mo Flash (Tr: E. R. Barker; J: Joey Martinez) reared  unseated her rider  and got loose prior to the race.  She was scratched and Apprentice Jockey Martinez went directly to the hospital. Investigation to continue., 
53,2018,10/18/2018,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLGR,Racing,Thoroughbred,43 - clear,Flirtin N Flashin,RALPH D'ALESSANDRO,OSCAR D. GOMEZ,Flirtin N Flashin  -  Tr. Ralph D'Alessando  -  Broke down in the stretch   -   unseated  Jockey: Oscar Gomez  -  Jockey treated & released -  Horse euthanized on track -,Equine Death
54,2018,10/14/2018,EQUINE DEATH,Belmont Park (NYRA), ,Training,Thoroughbred, ,Miss Technicality,CHRISTOPHE CLEMENT, ,Miss Technicality (Tr. C. Clement) - sustained an injury after the wire while breezing.  She was transported to her barn via horse ambulance  and after examination  was humanely euthanized.,Euthanasia
55,2018,10/14/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,60* Cloudy,Tell You What,LINDA L. RICE,JOSE LEZCANO,Tell You What-T: Linda Rice- J: Jose Lezcano- suffered Fx RF Cannon bone near the 1/4 pole  resulting in humane euthanasia on the track.,Euthanasia
56,2018,10/14/2018,EQUINE DEATH,Belmont Park (NYRA), ,Training,Thoroughbred, ,Miss Technicality, , ,Miss Technicality (Tr. C. Clement) - sustained an injury after the wire while breezing.  She was transported to her barn via horse ambulance  and after examination  was humanely euthanized.,Euthanasia
57,2018,10/12/2018,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Harness Track,Racing,Harness,Clear - 55 degrees,Southwind Sapphire,MELISSA A. BECKWITH,BRUCE A. ALDRICH JR,Southwind Sapphire - Tr. Melissa Beckwith - DNF (horse pulled up), 
58,2018,10/12/2018,RACING INCIDENT,Finger Lakes Gaming & Racetrack,stretch,Racing,Thoroughbred,Cloudy/51,Cool and Quiet,ARCADIO LOPEZ,JEREMIAS FLORES,Cool and Quiet - Tr. Arcadio Lopez - was pulled up in the stretch  vanned off. Investigation to follow., 
59,2018,10/12/2018,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLGR,Non-Racing,Thoroughbred,Cloudy - 45,Field Sense,KEVIN T. MCCARTHY, ,Field Sense  -  Tr. Kevin McCarthy  -  Colic withouth resolution - Humanely Euthanized  -  Non Racing,Equine Death
60,2018,10/10/2018,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct Main track at wire,Training,Thoroughbred, ,K's Cabernet,NORMAN C. FOLLETT, ,H-K's Cabernet (Tr.-Norman Follett) sustained Fx RF cannon bone while breezing-euthanized on track.,Euthanasia
61,2018,10/08/2018,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Cloudy,Bazaar Bazaar,JORDAN J. DERUE,JORDAN J. DERUE,Bazaar Bazaar - Tr. Jordon Derue - tied up while warming up for race,Lameness
62,2018,10/08/2018,ACCIDENT - ON TRACK,Batavia Downs,Batavia Downs,Racing,Harness,clear 81 deg,Missevil,GERALD W. SARAMA,JAMES E. CLOUSER JR,H:Mean Pauline -T/ D:Shawn McDonough made stand still break - H:Missevil D: James Clouser Jr locked wheels - Both horses and drivers fell to ground, 
63,2018,10/08/2018,ACCIDENT - ON TRACK,Batavia Downs,Batavia Downs,Racing,Harness,clear 81 deg,Mean Pauline,SHAWN M. MCDONOUGH,SHAWN M. MCDONOUGH,H:Mean Pauline -T/ D:Shawn McDonough made stand still break - H:Missevil D: James Clouser Jr locked wheels - Both horses and drivers fell to ground,Steward's List
64,2018,10/07/2018,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLGR,Non-Racing,Thoroughbred,Rain - 70,Carradine,ILMAR A. LOAIZA, ,Carradine  -  Tr. Ilmar Loaiza  -  Colic without resolution  -  Euthanized  -   Non Racing,Equine Death
65,2018,10/07/2018,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Cloudy,Theres Magic In Me,BRIAN E. WALKER,BRETT L. CRAWFORD,Theres Magic In Me - tr. Brian Walker - lame in left ankle during warm-up,Lameness
66,2018,10/06/2018,EQUINE DEATH,Saratoga Racecourse (NYRA), ,Training,Thoroughbred, ,St. Barts,TODD A. PLETCHER, ,St.Barts -(Tr. Todd Pletcher) collapsed while galloping on Oklahoma training track-pulmonary hemorrhage,Equine Death
67,2018,10/06/2018,RACING INJURY,Belmont Park (NYRA),After finish,Racing,Thoroughbred,67* Cloudy,Hubba Bubba,DAVID A. CANNIZZO,JOEL ROSARIO,Hubba Bubba/D. Cannizzo-pulled up after the finish-was vanned off-no injuries reported, 
68,2018,10/06/2018,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After finish,Racing,Thoroughbred,Clouds - 75,charney river,RACHEL L. SELLS,JOEL SONE,Charnley River Tr. Rachel Sells - collapsed and died after the finish - Possible Aneurysm--5th race -10-6-18,Equine Death
69,2018,10/05/2018,RACING INCIDENT,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,75* cloudy,Missbigtimes,JEREMIAH C. ENGLEHART,DAVID L. COHEN,Horse Missbigtimes/J. Englehart-pulled up at the 1/4 pole-walked off the track under own power. No injuries reported, 
70,2018,10/05/2018,EQUINE DEATH,Saratoga Gaming & Raceway,Harness Track,Racing,Harness,Clear,Panchester United,GARY L. LEVINE,BILLY A. DOBSON,Panchester United - Tr. Gary Levine - fractured right front pastern during qualifying race/vanned off,Equine Death
71,2018,09/30/2018,EQUINE DEATH,Belmont Park (NYRA), ,Training,Thoroughbred, ,Aqua Bel Sar,BISNATH PARBOO, ,H-Aqua Bel Sar (Tr. Bisnath Parboo) collapsed in area of 1/16th pole while breezing on Belmont training track. Inv. Continues.,Equine Death
72,2018,09/29/2018,FALL OF RIDER,Finger Lakes Gaming & Racetrack,1/8 pole,Racing,Thoroughbred,Sun - Fast - 60,Itsa Big No,AMBER R. COBB,JAIME RODRIGUEZ,Itsa Big No  -  TR.:  Amber R. Cobb  -  Jockey: Jaime Rodriguez - unseated jockey after the start - no injury to horse or rider -, 
73,2018,09/27/2018,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,before race,Racing,Harness,clear,PB's On Fire,BRETT L. CRAWFORD,BRETT L. CRAWFORD,PB's On Fire - Tr. Driver Brett Crawford - Injured warming up  late sctratch, 
74,2018,09/27/2018,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/4 pole,Racing,Thoroughbred,Cloudy / 60,Kieran Street,MICHAEL E. LAUER,OSCAR D. GOMEZ,Kieran Street - Tr. Michael Lauer - broke down in the vicinity of the 1/4 pole.  Euthanized on track.   Investigation continues.,Euthanasia
75,2018,09/24/2018,EQUINE DEATH,Saratoga Racecourse (NYRA),Oklahoma TT,Training,Thoroughbred, ,Forbade,CHRISTOPHE CLEMENT, ,H-Forbade (Tr-C. Clemente) sustained LH condylar fracture requiring euthanasia. Inv. Continues.,Euthanasia
76,2018,09/21/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred, ,Loose,ANTHONY W. DUTROW,JUNIOR R. ALVARADO,Race 1: Loose (O/T: Anthony Dutrow) (R:  Junior Alvarado) pulled up in the stretch   taken back to barn in horse ambulance.  Found to have fractures in LF leg necessitating euthanasia. Investigation to Continue.,Euthanasia
77,2018,09/16/2018,EQUINE DEATH,Saratoga Racecourse (NYRA),Oklahoma Training Track,Training,Thoroughbred, ,Hard Study,TODD A. PLETCHER, ,Hard Study-Trainer T. Pletcher-Fx RF Sesamoids at 7/8th pole breezing on 9/16/18-ambulanced to barn-xrays revealed injury-professional consultation concluded poor prognosis for recovery-euthanized 9/18/18,Equine Death
78,2018,09/16/2018,ACCIDENT - TAGGED SULKY,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Clear,Guida's Geisha,EVE BERGERON,STEEVEN GENOIS,Guida's Geisha - Tr. Eve Bergeron - horse reared between paddock and track causing damage to sulky - horse not hurt,Accident
79,2018,09/13/2018,EQUINE DEATH,Saratoga Racecourse (NYRA), ,Training,Thoroughbred, ,Business Expense,CHAD C. BROWN, ,Business Expense-Tr. Chad Brown-Fx LH Cannon and P1 while breezing-euthanized. Investigation continues.,Euthanasia
80,2018,09/13/2018,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLGR,Non-Racing,Thoroughbred,Cloudy  -  80,Cleo's Reign,JACQUELINE L. FALK, ,Cleo's Reign   -  Tr. Jacqueline L. Falk   - fx left front sesamoid(s)  sent to Cornell  Surgical efforts to repair injury unsuccessful  necessitating euthanasia.,Equine Death
81,2018,09/11/2018,RACING INCIDENT,Finger Lakes Gaming & Racetrack,after finish,Racing,Thoroughbred,Cloudy/68,Trek,JUDY E. TURETSKY,OSCAR D. GOMEZ,Trek- Tr. Judy Turetsky -was vanned off after the finish.  Investigation continues., 
82,2018,09/10/2018,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,backstretch,Racing,Harness,raining,Fox Valley Hermia,NICHOLAS K. SURICK,AUSTIN T. SIEGELMAN,Fox Valley Hermia  DNF-Must qualify,Steward's List
83,2018,09/08/2018,EQUINE DEATH,Belmont Park (NYRA), ,Training,Thoroughbred,68,Quaff,ROBERT J. RIBAUDO, ,Quaff (tr: Robert Ribaudo) removed from track via Horse Ambulance during training hours.  Euthanasia recommended following imagin and poor px.,Injury
84,2018,09/08/2018,RACING INCIDENT,Saratoga Gaming & Raceway,on track,Racing,Harness,Clear,Fcee N,MELISSA A. BECKWITH,MARK D. BECKWITH,Fcee N - Tr. Melissa Beckwith - Dr. Mark Beckwith - DNF, 
85,2018,09/08/2018,RACING INCIDENT,Saratoga Gaming & Raceway,Half Mile,Racing,Harness,Cloudy,Dinner Guest,FRANK MULTARI JR,JAY L. RANDALL,Dinner Guest - Tr. Frank Multari - Dr. Jay Randall - DNF-A Fib,Injury
86,2018,09/08/2018,RACING INCIDENT,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,68,My Cousin Lou,ANTONIO G. ARRIAGA,ERIC CANCEL,Race 2:  My Cousin Lou (Tr: A. Arriaga; Ridden by Eric Cancel) was pulled up after the wire and taken off the track in the horse ambulance.  Investigation to continue., 
87,2018,09/08/2018,EQUINE DEATH,Tioga Downs,Paddocks 5/8 stall,Racing,Harness,cloudy,Cool breeze de vie,RICHARD CAMPOLONG,FERNAND A. PAQUET JR,Horse Cool Breeze DeVie (5th race  horse 8) collapsed and died upon returning to the paddock stall immediately following the 5th race,Equine Death
88,2018,09/07/2018,RACING INCIDENT,Saratoga Gaming & Raceway,Harness Track,Racing,Harness,Clear,Flying Penelope,DOLORES D. BASILONE,JAMES J. DEVAUX,Flying Penelope - Tr. Dolores Basilone - DNF (would not stay on gait/driver pulled up), 
89,2018,09/07/2018,EQUINE DEATH,Belmont Park (NYRA), ,Non-Racing,Thoroughbred, ,Northernstreetgal,GARY C. CONTESSA, ,H-Northernstreetgal  (Tr.G. Contessa) developed chronic septic tendon sheath infection to R hock  unresponsive to antibiotic treatment  subsequently euthanized. Inv. Continues.,Euthanasia
90,2018,09/06/2018,ACCIDENT - ON TRACK,Monticello Raceway & Mighty M Gaming,3/4 pole,Racing,Harness,Hot/humid,Big Town Dreams,JOHN W. BAIRD,KYLE W. DIBENEDETTO,Drv. #5 horse bore in/hooked wheels with #2 horse/ #2 horse & driver fell,Accident
91,2018,09/04/2018,EQUINE DEATH,Saratoga Racecourse (NYRA),Stall,Non-Racing,Thoroughbred, ,Royal Blessing,BRENDAN P. WALSH, ,Royal Blessing-Trainer Walsh-found dead in his stall-Ileal rupture,Equine Death
92,2018,09/02/2018,RACING INCIDENT,Saratoga Racecourse (NYRA),1/8 pole,Racing,Thoroughbred,Clear,The Chamo,GARY C. CONTESSA,JUNIOR R. ALVARADO,The Chamo - Tr. Gary contessa - Joc. Junior Alvarado - horse pulled up in stretch and vanned off track., 
