"200109"	2.5	4.4
"200108"	2.3	4.4
"200107"	2.2	4.1
"200106"	2.2	3.8
"200105"	2.1	3.9
"200104"	2.1	3.7
"200103"	2.0	3.8
"200102"	1.6	3.7
"200101"	1.6	3.8
"200012"	1.5	3.5
"200011"	1.5	3.5
"200010"	1.6	3.6
"200009"	1.9	3.5
"200008"	1.9	3.7
"200007"	1.7	3.4
"200006"	1.6	3.4
"200005"	1.6	3.4
"200004"	1.5	3.3
"200003"	1.7	3.3
"200002"	1.6	3.4
"200001"	1.8	3.4
"199912"	1.7	3.5
"199911"	1.7	3.2
"199910"	1.7	3.4
"199909"	1.7	3.7
"199908"	1.6	3.5
"199907"	1.8	3.6
"199906"	2.0	3.8
"199905"	1.9	3.5
"199904"	2.0	3.5
"199903"	1.9	3.5
"199902"	1.9	3.5
"199901"	1.8	3.5
"199812"	1.8	3.8
"199811"	1.9	3.9
"199810"	1.9	4.0
"199809"	1.7	4.1
"199808"	1.8	3.9
"199807"	1.7	4.1
"199806"	1.7	4.0
"199805"	1.7	3.7
"199804"	1.7	3.9
"199803"	1.8	4.2
"199802"	1.9	4.0
"199801"	1.9	4.0
"199712"	1.8	4.0
"199711"	1.7	3.8
"199710"	1.9	4.1
"199709"	2.1	4.1
"199708"	2.1	4.2
"199707"	2.1	4.2
"199706"	2.0	4.3
"199705"	2.2	4.2
"199704"	2.0	4.3
"199703"	2.0	4.4
"199702"	2.1	4.6
"199701"	2.1	4.5
"199612"	2.3	4.5
"199611"	2.3	4.6
"199610"	2.2	4.6
"199609"	2.2	4.5
"199608"	2.1	4.4
"199607"	2.2	4.7
"199606"	2.2	4.6
"199605"	2.3	4.8
"199604"	2.3	4.8
"199603"	2.2	4.7
"199602"	2.3	4.7
"199601"	2.4	4.9
"199512"	2.4	4.7
"199511"	2.3	4.8
"199510"	2.4	4.5
"199509"	2.4	4.7
"199508"	2.5	4.5
"199507"	2.5	4.7
"199506"	2.6	4.7
"199505"	2.5	5.0
"199504"	2.7	5.1
"199503"	2.5	4.5
"199502"	2.3	4.7
"199501"	2.4	5.0
"199412"	2.3	4.7
"199411"	2.3	4.8
"199410"	2.4	4.9
"199409"	2.5	5.0
"199408"	2.5	5.4
"199407"	2.7	5.2
"199406"	2.6	5.4
"199405"	2.5	5.3
"199404"	2.5	5.6
"199403"	2.8	5.8
"199402"	2.8	6.1
"199401"	2.9	5.8
"199312"	2.8	5.9
"199311"	2.9	6.0
"199310"	2.9	6.3
"199309"	2.8	6.2
"199308"	2.6	6.1
"199307"	2.8	6.3
"199306"	2.9	6.4
"199305"	3.0	6.4
"199304"	3.2	6.3
"199303"	3.2	6.4
"199302"	3.2	6.3
"199301"	3.1	6.6
"199212"	3.3	6.8
"199211"	3.4	6.7
"199210"	3.3	6.6
"199209"	3.2	6.7
"199208"	3.0	7.3
"199207"	3.1	6.6
"199206"	3.2	6.8
"199205"	3.2	6.9
"199204"	3.2	6.9
"199203"	2.9	6.9
"199202"	3.2	7.0
"199201"	3.1	6.8
